Num Trees,Learning Rate,Subsample,Weight of Default,AUC Train,AUC Test 1,AUC Test 2,% Features,Variance
300,0.1,0.8,1,0.974439473,0.94335989,0.935651674,1,0.031079583
300,0.1,0.5,1,0.97352422,0.942311689,0.935084038,1,
300,0.1,0.8,5,0.97327899,0.943305102,0.934665105,1,0.029973888
300,0.1,0.5,5,0.972883027,0.941882436,0.93357223,1,
300,0.1,0.8,10,0.971637767,0.942184112,0.934044082,1,0.029453655
300,0.1,0.8,1,0.971193468,0.944069925,0.936247533,0.5,0.027123543
300,0.1,0.5,1,0.970727865,0.943452405,0.935436609,0.5,
300,0.1,0.5,10,0.970701102,0.94157751,0.933432893,1,
300,0.1,0.8,5,0.970042958,0.943986722,0.936257436,0.5,0.026056236
300,0.1,0.5,5,0.969784592,0.943062006,0.935280633,0.5,
300,0.1,0.8,10,0.969217414,0.943080741,0.935509776,0.5,0.026136673
300,0.1,0.5,10,0.967858875,0.942662852,0.93468556,0.5,
100,0.1,0.8,10,0.958085404,0.944205822,0.936358399,1,
100,0.1,0.8,5,0.958027233,0.944614031,0.936710832,1,
100,0.1,0.8,1,0.957866657,0.944345499,0.93744038,1,
100,0.1,0.5,1,0.957761269,0.943788328,0.936887592,1,
100,0.1,0.5,5,0.957692451,0.943840615,0.935988845,1,
100,0.1,0.8,1,0.957486687,0.944890284,0.937444154,0.5,
100,0.1,0.8,5,0.957076414,0.944701162,0.937492624,0.5,
100,0.1,0.8,10,0.956879645,0.944526015,0.936853295,0.5,
100,0.1,0.5,10,0.956506702,0.943914029,0.936436277,1,
100,0.1,0.5,1,0.95644278,0.945112919,0.93712088,0.5,
100,0.1,0.5,5,0.956361261,0.944707103,0.93672922,0.5,
100,0.1,0.5,10,0.955735945,0.944620937,0.936395685,0.5,
50,0.1,0.8,10,0.953110735,0.944170203,0.935827498,1,
50,0.1,0.8,5,0.953061989,0.944764624,0.936886256,1,
50,0.1,0.8,1,0.952705446,0.944391369,0.937377474,1,
50,0.1,0.5,5,0.95225648,0.944359665,0.936411112,1,
50,0.1,0.8,5,0.952140364,0.944952115,0.937195797,0.5,
50,0.1,0.5,1,0.952050301,0.944331482,0.937352475,1,
50,0.1,0.5,10,0.951995295,0.944104864,0.936549429,1,
50,0.1,0.8,1,0.951974432,0.945311748,0.937552954,0.5,
50,0.1,0.8,10,0.951957051,0.944860293,0.936527515,0.5,
50,0.1,0.5,5,0.951385851,0.945031416,0.936641948,0.5,
50,0.1,0.5,1,0.951365264,0.945266653,0.93716183,0.5,
50,0.1,0.5,10,0.951042648,0.944854597,0.936119532,0.5,
300,0.01,0.8,5,0.950316202,0.944454233,0.936436511,1,0.005861969
300,0.01,0.8,1,0.950314997,0.944678322,0.936813075,1,0.005636675
300,0.01,0.5,5,0.950175633,0.944621018,0.936468232,1,
300,0.01,0.8,10,0.950170214,0.94425418,0.935885679,1,0.005916034
300,0.01,0.5,1,0.950053876,0.944871822,0.937100233,1,
300,0.01,0.5,10,0.950019133,0.944203035,0.936233346,1,
300,0.01,0.8,5,0.949801617,0.945178978,0.936943335,0.5,0.004622639
300,0.01,0.8,1,0.94963159,0.945151529,0.937364733,0.5,0.004480061
300,0.01,0.8,10,0.949598305,0.944838595,0.936569677,0.5,0.00475971
300,0.01,0.5,5,0.949383839,0.944961455,0.936969574,0.5,
300,0.01,0.5,10,0.949145511,0.944605139,0.93641782,0.5,
300,0.01,0.5,1,0.949128051,0.945180487,0.937407047,0.5,
100,0.01,0.8,1,0.946943509,0.943006688,0.935039232,1,
100,0.01,0.5,1,0.946872377,0.943410505,0.935647404,1,
100,0.01,0.8,1,0.94619206,0.943900461,0.935885693,0.5,
100,0.01,0.8,5,0.946174323,0.942866277,0.934662034,1,
100,0.01,0.5,5,0.946118317,0.943192955,0.934808299,1,
100,0.01,0.8,5,0.945983455,0.943780715,0.93542913,0.5,
100,0.01,0.5,1,0.945731169,0.943968301,0.93577473,0.5,
50,0.01,0.5,1,0.94570742,0.942877167,0.934764305,1,
100,0.01,0.8,10,0.94566419,0.943375022,0.934848188,0.5,
100,0.01,0.5,5,0.945573564,0.943637299,0.935363635,0.5,
50,0.01,0.8,1,0.945459157,0.942207278,0.934085211,1,
50,0.01,0.8,1,0.945332559,0.943717633,0.935439033,0.5,
100,0.01,0.8,10,0.94521917,0.94248912,0.933943973,1,
100,0.01,0.5,10,0.945214132,0.942491594,0.934386763,1,
100,0.01,0.5,10,0.945211665,0.94304141,0.934689375,0.5,
50,0.01,0.8,5,0.944944272,0.943451725,0.934844166,0.5,
50,0.01,0.5,1,0.944907704,0.943677038,0.935262934,0.5,
50,0.01,0.5,5,0.944683197,0.942587603,0.933890916,1,
50,0.01,0.8,10,0.944679893,0.94306894,0.934353609,0.5,
50,0.01,0.8,5,0.944532572,0.942032363,0.933444642,1,
50,0.01,0.5,5,0.944496887,0.94333338,0.934683108,0.5,
50,0.01,0.5,10,0.94431604,0.942986825,0.934380495,0.5,
50,0.01,0.5,10,0.943808462,0.941812828,0.933646512,1,
50,0.01,0.8,10,0.943649285,0.94154843,0.932958947,1,
